Case_ID,Load_Position_X_m,Applied_Node_ID,Load_Magnitude_N,Max_Deformation_m
1,0.01,417,100.0,0.0
2,0.01,417,1200.0,0.0
3,0.01,417,2300.0,0.0
4,0.01,417,3400.0,0.0
5,0.01,417,4500.0,0.0
6,0.01,417,5600.0,0.0
7,0.01,417,6700.0,0.0
8,0.01,417,7800.0,0.0
9,0.01,417,8900.0,0.0
10,0.01,417,10000.0,0.0
11,0.02,417,100.0,0.0
12,0.02,417,1200.0,0.0
13,0.02,417,2300.0,0.0
14,0.02,417,3400.0,0.0
15,0.02,417,4500.0,0.0
16,0.02,417,5600.0,0.0
17,0.02,417,6700.0,0.0
18,0.02,417,7800.0,0.0
19,0.02,417,8900.0,0.0
20,0.02,417,10000.0,0.0
21,0.03,417,100.0,0.0
22,0.03,417,1200.0,0.0
23,0.03,417,2300.0,0.0
24,0.03,417,3400.0,0.0
25,0.03,417,4500.0,0.0
26,0.03,417,5600.0,0.0
27,0.03,417,6700.0,0.0
28,0.03,417,7800.0,0.0
29,0.03,417,8900.0,0.0
30,0.03,417,10000.0,0.0
31,0.04,417,100.0,0.0
32,0.04,417,1200.0,0.0
33,0.04,417,2300.0,0.0
34,0.04,417,3400.0,0.0
35,0.04,417,4500.0,0.0
36,0.04,417,5600.0,0.0
37,0.04,417,6700.0,0.0
38,0.04,417,7800.0,0.0
39,0.04,417,8900.0,0.0
40,0.04,417,10000.0,0.0
41,0.05,417,100.0,0.0
42,0.05,417,1200.0,0.0
43,0.05,417,2300.0,0.0
44,0.05,417,3400.0,0.0
45,0.05,417,4500.0,0.0
46,0.05,417,5600.0,0.0
47,0.05,417,6700.0,0.0
48,0.05,417,7800.0,0.0
49,0.05,417,8900.0,0.0
50,0.05,417,10000.0,0.0
51,0.06,417,100.0,0.0
52,0.06,417,1200.0,0.0
53,0.06,417,2300.0,0.0
54,0.06,417,3400.0,0.0
55,0.06,417,4500.0,0.0
56,0.06,417,5600.0,0.0
57,0.06,417,6700.0,0.0
58,0.06,417,7800.0,0.0
59,0.06,417,8900.0,0.0
60,0.06,417,10000.0,0.0
61,0.07,417,100.0,0.0
62,0.07,417,1200.0,0.0
63,0.07,417,2300.0,0.0
64,0.07,417,3400.0,0.0
65,0.07,417,4500.0,0.0
66,0.07,417,5600.0,0.0
67,0.07,417,6700.0,0.0
68,0.07,417,7800.0,0.0
69,0.07,417,8900.0,0.0
70,0.07,417,10000.0,0.0
71,0.08,417,100.0,0.0
